,Name,Cuisine_Type,Rating,Review_Count
335,Vegetalia Gotico,"['Spanish', 'Healthy']",4.5,1622
336,La Caravana,"['Middle Eastern', 'Arabic']",4.5,275
337,Caelis,"['Mediterranean', 'European']",4.5,1099
338,Terrazza Ravello,"['Mediterranean', 'Italian']",4.5,978
339,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
340,Mussol Casp,"['Mediterranean', 'Spanish']",4.0,1778
341,Ramen House Barcelona Izakaya,"['International', 'Asian']",4.5,562
342,La Tere Gastrobar,"['Mediterranean', 'European']",4.5,354
343,Secrets Del Mediterrani,"['Mediterranean', 'Spanish']",4.5,470
344,Sensi Bistro,"['Mediterranean', 'European']",4.5,2159
345,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
346,Ayres del Sur,"['Argentinean', 'Steakhouse']",4.5,263
347,NANA Restaurant - Brasa,"['Mediterranean', 'European']",4.5,125
348,Les Finestres de Lluria,"['Mediterranean', 'European']",4.5,343
349,Ristorante Meraviglioso,"['Italian', 'Mediterranean']",4.5,309
350,La Cholita,"['Mediterranean', 'Spanish']",4.5,672
351,Jay's Japanese,['Japanese'],5.0,54
352,La Tasqueta De Blai,"['European', 'Gastropub']",4.5,2826
353,Mimo's Born,"['Mediterranean', 'Spanish']",4.5,495
354,El Xiringo,"['Seafood', 'Mediterranean']",4.5,457
355,La Balanza,"['Italian', 'Mediterranean']",4.5,175
356,Nineteen Restaurant,"['Mediterranean', 'European']",4.5,330
357,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
358,Taberna Babia,['Spanish'],4.5,320
359,Arabia Cafe-Restaurant,"['Arabic', 'Lebanese']",4.5,1600
360,The Fish & Chips Shop,"['Mediterranean', 'British']",4.5,857
361,Asador Vic Braseria,"['Steakhouse', 'Barbecue']",4.5,1099
362,Bodega La Palma,"['Mediterranean', 'European']",4.5,548
363,Restaurant Junca,"['Bar', 'Grill']",5.0,7
364,La Foga,['International'],4.5,1123
365,Xorus,"['Mediterranean', 'European']",4.5,553
366,Arc Iris Restaurant Vegetaria,"['Mediterranean', 'European']",4.5,375
367,Tartela BCN,"['European', 'Deli']",4.5,248
368,Restaurante Addis Abeba,"['African', 'Healthy']",4.5,938
369,Bella Venezia,['Italian'],5.0,102
370,Bella Venezia,['Italian'],5.0,102
371,Il Mercante Di Venezia,"['Italian', 'Mediterranean']",4.5,899
372,EatMyTrip,"['American', 'Spanish']",4.5,708
373,Caravelle,"['Brew Pub', 'Cafe']",4.5,847
374,Bo de Boqueria,"['Seafood', 'Mediterranean']",4.5,1236
375,MonDore,"['Bar', 'Mediterranean']",4.5,754
376,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
377,La Cereria,"['Mediterranean', 'European']",4.5,299
378,Crudo Bar,"['Seafood', 'Healthy']",4.5,1059
379,IAKNI,"['Lebanese', 'Mediterranean']",5.0,121
380,Can Boneta,"['Mediterranean', 'European']",4.5,277
381,Intrepid De Gracia,"['Bar', 'International']",4.5,359
382,YUBI Barcelona,"['French', 'Japanese']",4.0,15
383,Bar Joan,"['Bar', 'Mediterranean']",4.5,242
384,Restaurant Ca L'Estevet,['Catalan'],4.5,545
385,Restaurante Arume,"['Mediterranean', 'European']",4.5,5260
386,Flaherty's Irish Pub Barcelona,"['Irish', 'Bar']",4.5,1754
387,Mayura,"['Indian', 'Healthy']",4.0,1252
388,Bivac,"['Italian', 'Mediterranean']",5.0,3
389,Miseria e Nobilta,"['Italian', 'Pizza']",4.5,339
390,LA FABRICA,"['Latin', 'Fast Food']",4.5,962
391,Bubita Sangria Bar,['$$ - $$$'],4.5,638
392,National Burger Steak house,"['American', 'Steakhouse']",4.5,1132
393,Cocina Hermanos Torres,"['Mediterranean', 'European']",4.5,336
394,Restaurant Junca,"['Bar', 'Grill']",5.0,7
395,CrosMas,"['Mediterranean', 'Spanish']",4.5,365
396,Jardinet D'Aribau,"['Mediterranean', 'European']",4.5,908
397,Cruix,"['International', 'Mediterranean']",4.5,570
398,Irati Taverna Basca,"['Mediterranean', 'European']",4.5,1996
399,Tosca del Carme,"['International', 'Mediterranean']",4.5,657
400,Monster Sushi - Girona 68,"['Japanese', 'Asian']",5.0,12
401,Leka Restaurant,"['Mediterranean', 'Spanish']",4.5,503
402,Casa Lolea Barcelona,"['European', 'Spanish']",4.5,2746
403,Bodega Iberia,"['Bar', 'Seafood']",4.5,557
404,Cibulet,"['Mediterranean', 'Spanish']",5.0,101
405,El Born,"['Bar', 'Spanish']",4.5,354
406,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
407,Veganashi - Sushi Vegano,"['Japanese', 'Asian']",5.0,23
408,Bodega la Tinaja,"['Spanish', 'Wine Bar']",4.5,367
409,Ramen-ya Hiro,"['Japanese', 'Asian']",4.5,1227
410,Osmosis,"['Mediterranean', 'European']",4.5,1534
